verb,frequency,frame_hdbscan,frame_label,frame_ward_25,gloss,top_subjects,top_objects
συνίημι,17,26,"fulfil, spin, perform, accomplish",20,bring; set together; shot; together,Κρονίων(1),ἔπος(3); ὄψ(2)
ῥίπτω,17,40,"contain, hold, seize, catch",12,"throw, cast, hurl; throw; prostrate; lying",ἄνεμος(1); βασίλεια(1); ἕτερος(1); Ταλθύβιος(1); σθένος(1),πούς(1); σφαῖρα(1); καλύπτρα(1)
ἐξελαύνω,17,30,"drive, sway, run, bring brought",18,"drive out; drive afield; drive out, expel from; banish",Ἀντίλοχος(1); Ἀχιλλεύς(1),ἵππος(3); Τρώς(2); γαῖα(1)
πνέω,17,-1,(unassigned),20,"blow; are sounding; breathe, send forth an odour; breathe out, send forth",αὔρα(1); θεός(1),μένος(7); ἀμφότερος(1); ἵππος(1); ἡμίονος(1)
ἐπιτρέπω,17,-1,(unassigned),20,to turn to; towards; inclined itself; to overturn upon,λαός(2); οὐρανός(2); Ὄλυμπος(2); ἕκαστος(1),θεός(3); νέφος(2); ἕκαστος(1)
φθέγγομαι,17,-1,(unassigned),7,utter a sound; voice; speak loud and clear; utter a syllable,Ἀθήνη(1),
μετέρχομαι,17,-1,(unassigned),1,come; go among; if he came among them; having gone between,,ἔργον(2); ὑπερφίαλος(1); κλέος(1); βοῦς(1); ὄις(1)
παλάσσω,17,38,"stream, defile, stain, fall",9,"besprinkle, defile; he bespattered his; to be scattered abroad; was smitten",ἐγκέφαλος(3); Ὀδυσσεύς(1); λέων(1),χείρ(2); αἷμα(1); ἐγκέφαλος(1); οὖδας(1); ἄζα(1)
ἀναιρέω,17,28,"straight, wash hands, thrust away, bear",9,"take up; having raised; take up and carry off, bear away; make away with, destroy",θύελλα(1),οὐλοχύται(2); ἀέθλιον(2); ἐπιφροσύνη(1); κόρη(1)
ἐξάγω,17,39,"abandon, congeal, curdle, portion",23,"lead out, lead away; having brought; out from; bring out of",μῆτις(1); Ἀθήνη(1); κῆρυξ(1); Μενέλαος(1),μέγαρον(2); ὅμιλος(2); δόμος(1)
ἐφορμάω,17,3,"moan, melt, hope, bade",25,"stir up, rouse against; set; having urged; rush upon, attack",θυμός(3); ἀετός(1); Ἀχαιός(1),ἄνεμος(1); ἔθνος(1); πόλεμος(1)
ἐκπέρθω,16,17,"slaying, rejoice, eat, flee",14,"destroy utterly, sack; take as booty from",Ἀχαιός(1),πτολίεθρον(5); Ἴλιος(5); πόλις(3); ἄστυ(1)
μηχανάομαι,16,-1,(unassigned),24,"make by art, construct, build; prepare; prepare, make ready; contrive, devise",μνηστήρ(2); ἀνήρ(2); πολύς(1); δυσμενής(1),ἀτάσθαλος(6); κακός(4); ἀεικής(2)
ἀναίνομαι,16,9,"reproach, fear, awe, sense",1,"refuse; reject with contempt, spurn; do I turn my back; refused, declined to do",,δόσις(2); ἔργον(1); δῶρον(1)
θαμβέω,16,-1,(unassigned),16,to be astounded; to be astonished at; alarm; PMag. Leid.W,υἱός(1); Ἀχιλλεύς(1),ὄρνις(1)
τιταίνω,16,29,"taught, weave, send forward, set",23,stretch; bending; having tuned my; plays,πατήρ(2); Ἀλέξανδρος(1); πόσις1(1); βοῦς(1),τόξον(4); ἅρμα(2); τάλαντον(2); τράπεζα(1); πτέρυξ(1)
πένομαι,16,-1,(unassigned),22,"toil, work; were busy; to have to work for oneʼs living; to be poor",ἀμφίπολος(1); μνηστήρ(1); δμωή(1),δαίς1(6)
ἐπαινέω,16,27,"speak, address, hear, exchange",23,"approve, applaud, commend; agree with, side with; assent, agree; assent",θεός(3); βασιλεύς(2); Ζεύς(1); Ἀχαιός(1),Ἕκτωρ(1); μῦθος(1)
ὀνίνημι,16,-1,(unassigned),21,"profit, benefit, help; gratify, delight; benefit; will",ἄναξ(1); γῆρας(1),δαίς1(1); καρδία(1)
κατακείω,16,2,"roar, old, haste, shout",5,,ὗς(1); ἄλγος(1); πίθος(1); ἕτερος(1),
μάρπτω,16,40,"contain, hold, seize, catch",12,"take hold of; catch by; lay hold of, seize; overtake, catch",ὕπνος(3); κεραυνός(2); γῆρας(1); παῖς(1),δύο(3); εἷς(1); χθών(1)
ἐλελίζω,16,-1,(unassigned),8,whirl round; move in coils; spires; cause,δράκων(1); Αἴας(1); γυῖον(1),Ὄλυμπος(2); σχεδία(1)
ἐκπίπτω,16,38,"stream, defile, stain, fall",9,fall out of; fell from; fall out; fall down,δάκρυ(2); τόξον(2); σκῆπτρον(1); σκῦτος(1),χείρ(8); δίφρος(2); ἵππος(1)
δηλέομαι,16,-1,(unassigned),12,"hurt, do a mischief to; did; a mischief; slew",ἀνήρ(4); χαλκός(1); βουλή(1),ὅρκιον(3); ὅσος(1); ῥινός(1)
τρέω,16,5,"leap, sal, assemble, went",16,"flee from fear, flee away; fleeing; fear; runaway, coward",Ἐπειός(1); ἀνήρ(1); Νεστορίδης(1); Ἕκτωρ(1),
παρέχω,16,-1,(unassigned),23,"hand over; furnish, supply; will provide; finds",θεός(1); θάλασσα(1); παῖς(1),φιλότης(2); δῶρον(2); ἱερεῖον(1)
ἀντιάω,16,-1,(unassigned),23,go for the purpose of meeting; receiving; go in quest of; hit,θεός(2); παῖς(2); νέος(1),μένος(3); πόλεμος(2); ἑκατόμβη(1); ὄνησις(1); ἆθλος(1)
ἔσθω,16,-1,(unassigned),13,"eat; eat up; feed on, devour",εὐλή(1),βάλανος(1); κειμήλιον(1); πρόβασις(1); ξένος(1); ἧπαρ(1)
δινεύω,15,-1,(unassigned),12,"whirl, spin round; after whirling; driving; round a circle",κυβιστητήρ(2); ὄσσε(1); κοῦρος(1),μοχλός(1); ζεῦγος(1)
δακρύω,15,1,"ring, rattle, tears, gnash",5,"weep, shed tears; with tears; to flood; to be in tears",παρειά(2); ὄσσα(1),
ἐκγίγνομαι,15,11,"pray, incur, need, born",23,to be born of; to be born to; come into being; to be gone away,παῖς(2); ἄμφω(1); Ἶλος(1),Ζεύς(3); Πορθεύς(1); Ἀφροδίτη(1); Τρώς(1)
ἁρπάζω,15,-1,(unassigned),12,"snatch away, carry off; to be a robber; thievish; have",ἠώς(1); Δηίφοβος(1); λέων(1),βοῦς(2); χήν(1); Κλεῖτος(1); πήληξ(1); δόρυ(1)
ὀλέκω,15,14,"arm, stay, strip, angry",12,"ruin, destroy, kill; prey; perish, die",πεζός(2); λαός(1); ἱππεύς(1); Ἕκτωρ(1),Ἀργεῖος(3); Τρώς(2); ἀλλήλων(2); φάλαγξ(2)
ἀναχωρέω,15,-1,(unassigned),24,"go back; walk backwards; retire, withdraw; they had retired",μνηστήρ(1),πόλις(2); ἵππος(1); ὄχος(1)
σφάζω,15,15,"eat, devour, kindle, chase",12,"slay, slaughter; by cutting the throat; slaughter; cut",μῆλον1(1); Πεισίστρατος(1); ὄρχαμος(1); μνηστήρ(1),μῆλον1(5); βοῦς(5); πολύς(1); ὄις(1)
δεύω1,15,20,"sprinkle, roast, broil, let flow",12,"wet, drench; to be flooded; steeped; wets his",γλάγος(2); δάκρυ(1); κόμη(1); πλοχμός(1),γαῖα(4); ἄγγος(2); πτερόν(1); ὄμβρος(1); εἷμα(1)
κικλήσκω,15,-1,(unassigned),23,"call, summon; invite; invoke, implore; accost, address",πατήρ(2); ἑταῖρος(2); ἀνήρ(2); νῆσος(1); νέος(1),ἄριστος(1)
ἠγερέθομαι,15,5,"leap, sal, assemble, went",7,"gather together, assemble",μνηστήρ(1); Ἀχαιός(1); ἑταῖρος(1); υἱός(1),
ἀποφθίνω,15,-1,(unassigned),23,"perish utterly, die away; make to perish, waste away, destroy; had; taken",ἑταῖρος(3); βασιλεύς(1); πηός(1); γαμβρός(1),θάνατος(1)
ἐφοράω,15,-1,(unassigned),1,"oversee, observe; watch over, visit; visit; attend",,πᾶς(3); Κακοίλιος(2); ἄνθρωπος(1); ὕβρις(1); εὐνομία(1)
ἐξείρω,15,-1,(unassigned),1,put forth; pull out,,ἕκαστος(1); γόνος(1)
τινάσσω,15,28,"straight, wash hands, thrust away, bear",9,shake; brandish; shook; upset,κῦμα(1); ἄνεμος(1); Κρονίων(1); πήληξ(1); ὀδούς(1),δόρυ(2); πτερόν(1); θρόνος(1); σχεδία(1); θημών(1)
σημαίνω,15,37,"strike, strip, wound, smite",18,"show by a sign, indicate, point out; after indicating; you have; shown you",Ἀχιλλεύς(2); Ὀδυσσεύς(1); υἱός(1); ὀπάων(1),τέρμα(2); ἕκαστος(1); πᾶς(1); φύλαξ(1)
μύρω,15,6,"fail, tears, meal, flow",7,"flow, trickle; trickled; melt into tears, shed tears; flow",ἑταῖρος(2),
πατέομαι,15,17,"slaying, rejoice, eat, flee",14,"eat; drink; eat of, partake of; eat, taste food",Ἀχαιός(1),σῖτος(4); σπλάγχνον(4); ποτής(3); δεῖπνον(2); ἐδητύς(1)
ἀτιμάω,15,-1,(unassigned),21,"dishonour, disdain",Ἀγαμέμνων(3); πᾶς(1); ἀνήρ(1),μῦθος(2); ξένος(1)
τέθηπα,15,4,"amazed, astonished, look, whirl swing",6,"to be astonished, astounded, amazed; amazed, astonished; wonder; be amazed at",θυμός(1),
μέδομαι,15,9,"reproach, fear, awe, sense",1,,,νόστος(3); κοῖτος(2); δόρπον(2); πόλεμος(2); κακός(2)
προσδέχομαι,15,10,"admit, riot, send away, dismiss",1,"receive favourably, accept; receive hospitably; admit; admit into oneʼs presence",,ὁρμή(2); οἶκος(1); δῶρον(1); φόνος(1)
ἀναχάζω,15,5,"leap, sal, assemble, went",7,"make to recoil, force back; draw back; giving way to; draw back from",Πάτροκλος(1); Ἕκτωρ(1); Τυδεΐδης(1),
τετίημαι,15,-1,(unassigned),9,to be sorrowful; sorrowing; from grief; quies,,ἦτορ(5)
μειδάω,15,34,"king, inquire, ask, beget bring",22,smile; laugh aloud; grinning; smáyati,Ἥρα(2); πατήρ(2); θεά(1); Ἀθήνη(1); ἴς(1),παῖς(1)
ὑπεκφεύγω,15,-1,(unassigned),8,flee away; escape; escape from,Ὀδυσσεύς(1); Ἕκτωρ(1),ὄλεθρος(4); κήρ(3); ἀυτή(1); πη(1)
σπάω,15,7,"wash, fenced, arrow, count",3,draw; having their; drawn; drew,,ἔγχος(6); ἄορ(3); ῥώψ(1); λύγος(1); χείρ(1)
ἐίσκω,15,9,"reproach, fear, awe, sense",1,only; make like; made; like,,φώς(2); πᾶς(1)
στυφελίζω,14,-1,(unassigned),9,"strike hard; drives away; thrust; treat roughly, maltreat",ξένος(1); Ζέφυρος(1); χερμάδιον(1); ἄλοχος(1); Ἥρα(1),ξένος(2); ἀσπίς(2)
ἐπιμαίομαι,14,31,"heavy, aim, disembark, cheat",23,"strive after, seek to obtain, aim at; make for; steer for; strive after",Ἥρα(2); Ἀθήνη(1); ἄναξ(1); θυμός(1),ἵππος(3); κώπη(1); δόρυ(1); σκόπελος(1)
πάρημαι,14,-1,(unassigned),3,to be seated beside; seated by; seated at; dwell beside,,δαίς1(1); ὗς(1); ἀλλότριος(1); ναῦς(1)
δέμω,14,41,"shake, join, tremble, cause",12,"build; built him; construct, prepare; munire viam",αὐλή(2); θάλαμος(1); συβώτης(1); τεῖχος(1),τεῖχος(4); πύργος(2); ὗς(1); θάλαμος(1); οἶκος(1)
αἰτέω,14,-1,(unassigned),1,"ask, beg; ask for, demand; ask leave; to ask",,ὁδός(1); φώς(1); ναῦς(1); Νοήμων(1); υἱός(1)
μεταπρέπω,14,-1,(unassigned),22,distinguish oneself; be distinguished among; am distinguished among,παρθένος(1),Τρώς(3); μῆλον1(2); αἰπόλιον(2); Μυρμιδόνες(2); ἥρως(2)
ἀρτύνω,14,13,"urge, know, remain, command",9,"putting; in order, dressing; prepared his; fitted",μάχη(1),ἕδνον(2); ἐρετμόν(2); βουλή(2); ψεῦδος(1)
ἐπέχω,14,-1,(unassigned),12,have; hold upon; hold; for,μένος(2); Ἀντίνοος(1); Εὐρύμαχος(1); ἀρχός(1); πᾶς(1),οἶνος(2); πούς(2)
ἀναπνέω,14,-1,(unassigned),19,"take breath; enjoy a respite, recover from; recovered; revive",υἱός(3); Ἀχαιός(2); Τρώς(1); Δαναοί(1),πόνος(2); κακότης(1)
ἀναπάλλω,14,2,"roar, old, haste, shout",5,swing to and fro; dance; urged; agitate,ἰχθύς(1),
αἴνυμαι,14,37,"strike, strip, wound, smite",18,"take; taking hold of; seizes; enjoy, feed on",πόθος(1); ἔργον(1); Τεῦκρος(1),τόξον(2); τυρός(2); τεῦχος(2); θώραξ(1)
μετάφημι,14,11,"pray, incur, need, born",22,speak among,Ἀντίνοος(5); υἱός(5); Ὀδυσσεύς(3); Ἀχιλλεύς(2),θεός(1)
δίω,14,15,"eat, devour, kindle, chase",12,"put to flight; drive; pursuing; give chase, hunt",κύων(2); ἀνήρ(1); Ἀχιλλεύς(1),δάιος2(1); σταθμός(1); λέων(1)
ὄνομαι,14,-1,(unassigned),23,"blame, find fault with, treat scornfully; do ye think it a light thing; is it to your profit; thou wilt",μνηστήρ(1); βροτός(1); Ἄρης(1); Ἀθήνη(1),φρήν(2); κακότης(1); ἀρετή(1)
ἐγγυαλίζω,14,-1,(unassigned),20,"put into the palm of the hand, put into the hand; will put; into; hands",Ζεύς(2); Ὀλύμπιος(1); θεός(1),κράτος(5); κῦδος(2)
ἐντίθημι,14,-1,(unassigned),1,put in; put on board; into; inspire,,θυμός(6); χλαῖνα(3); μῦθος(2); κότος(2)
ἀνάγω,14,-1,(unassigned),21,"lead up; lead up to the high sea, carry by sea; conduct, carry to; put",θεός(1); Ἀτρείδης(1),ἄλοχος(1); κτῆμα(1); γυνή(1)
μαντεύομαι,14,-1,(unassigned),9,"divine, prophesy; draw divinations from; by means of; presage, forebode, surmise",ψυχή(1); Κάλχας(1),βροτός(1); τέκος(1)
ἐξερύω,13,37,"strike, strip, wound, smite",18,draw out of; snatch out of; draw out; tear out,Ὀδυσσεύς(2); ἁλιεύς(1); Ἀχαιός(1); Μηριόνης(1),μῆδος2(2); μοχλός(1); ὀφθαλμός(1)
καθάπτω,13,-1,(unassigned),9,"fasten; fix on, put upon; having made; fast",οὖρος(1),ἔπος(2); ἦτορ(1); Ἄρης(1)
στορέννυμι,13,33,"work, strait, pour, stand",3,,ῥινός(1),λέχος(6); τάπης(2); βοείη(1); δέμνιον(1); ἀνθρακιά(1)
κραίνω,13,-1,(unassigned),22,"accomplish, fulfil; accomplish; give true; come true",χεῖλος(1); βασιλεύς(1),ἔλδωρ(4); χρυσός(2); ἔτυμος(1); ἔπος(1)
στεναχίζω,13,-1,(unassigned),12,"groan, sigh, wail; bewail, lament",γαῖα(2); δῶμα(1),πούς(1)
μέμονα,13,4,"amazed, astonished, look, whirl swing",8,to be furiously; very eager; would fain; rage,καρδία(1); Ἕκτωρ(1),μήτηρ(1); γέρας(1)
ἀντιάζω,13,22,"succour, face, hide cover, assembly",20,meet face to face; encounter; shall answer to; approach as suppliants,θεός(1),παῖς(1); πόνος(1); πόλεμος(1); στέρνον(1)
εὐνάω,13,-1,(unassigned),1,"lay; place in ambush; lay asleep, lull to sleep; make oneʼs couch",,γόος(1); θεός(1); βροτός(1)
θαρσύνω,13,-1,(unassigned),2,"encourage, embolden",,ἑταῖρος(5); ἦτορ(1); Μενοίτιος(1)
ὑποδείδω,13,9,"reproach, fear, awe, sense",2,"shrink in fear under, cower before; cower beneath; fear",,ὁμοκλή(4); δῆμος(1); ὅμιλος(1); μῆνις(1)
δίζημαι,13,9,"reproach, fear, awe, sense",1,"seek out, look for; seek for; devising means for; seeking to win her",,νόστος(2); Πάνδαρος(2); φάρμακον(1); πατήρ(1)
βρίθω,13,20,"sprinkle, roast, broil, let flow",11,to be heavy; weighed down with; to be laden with; full of,ἀγός(2); τράπεζα(1); δένδρεον(1); ταρσός(1); χθών(1),σῖτος(1); κρέας(1); οἶνος(1); καρπός1(1); τυρός(1)
ἄλαλκε,13,9,"reproach, fear, awe, sense",1,"ward, keep off",,Τρώς(3); λοιγός(3); κύων(2); κάρα(1)
σείω,13,41,"shake, join, tremble, cause",9,"shake, move to and fro; shake the poised; shake; there was an earthquake",πήληξ(1); ὕλη(1); πούς(1); κορυφή(1),ζυγόν(2); ἐγχείη(2); μελία(1); σανίς(1)
ὀνομαίνω,13,7,"wash, fenced, arrow, count",3,"name; call by name; name, recount; utter, speak",,ἑταῖρος(4); θεός(1); δῶρον(1); τρίπους(1); τάλαντον(1)
ἀφαμαρτάνω,13,-1,(unassigned),5,"miss; lose, be deprived of",Σαρπηδών(2),
εἰσαναβαίνω,13,16,"fight, retire, shrink, flee",14,go up to; into,Ἀργεῖος(3); Τρώς(2),Ἴλιος(6); ὑπερῷον(4); ἀκτή(1); Πέργαμος(1); λέχος(1)
ἐπιτρέχω,13,30,"drive, sway, run, bring brought",17,"run upon; make an assault upon; approach; run after, be eager",ἀχλύς(1); αἴγλη(1); ἔγχος(1); υἱός(1),ἵππος(1)
ἀριστεύω,13,-1,(unassigned),3,to be best; bravest; gain the prize for valour; gain the highest distinction,,ἅπας(1); Τρώς(1)
δέρκομαι,13,9,"reproach, fear, awe, sense",1,"see clearly, see; having sight; alive, living; since she lives",,καπνός(1); πῦρ(1); Τρώς(1); φόνος(1); φύζα(1)
λεύσσω,13,23,"look gaze, courage, share, persuade",15,"look; gaze upon, see; look, gaze; lives",πᾶς(1),θάλος(1); ἑταῖρος(1); καπνός(1); φθογγή(1)
κρατέω,13,30,"drive, sway, run, bring brought",16,"to be strong, powerful; rule, hold sway; sway; the ruler",Ἐπειός(3),νέκυς(1); Ἀχαιός(1); ἀνήρ(1); θεός(1); Ἀργεῖος(1)
φθινύθω,13,-1,(unassigned),21,"waste; cause; to pine away; waste away, decay, perish",χρώς(1); παρειά(1); παῦρος(1),οἶκος(2); κῆρ(2); οἶνος(1); αἰών(1)
διαπέρθω,13,-1,(unassigned),12,"destroy utterly, sack, waste",πόλις(1); υἱός(1),πόλις(4); ἄστυ(2); Τροία(1)
ἀφίστημι,13,-1,(unassigned),23,"put away, remove, keep out of the way; hinder from; frustrate; depose",γυνή(2); ψυχή(1); Ἀχαιός(1); υἱός(1),ἀνήρ(2); χρέος(1); τροχός(1)
ἐναρίζω,13,-1,(unassigned),9,strip a slain foe of his arms; slay in fight; slay; when dying,Ἄρης(1),ἀλλήλων(4); ἔντεα(2); βία(2); Ἀτρείδης(1)
ἐξέρομαι,13,34,"king, inquire, ask, beget bring",22,inquire into; will inquire concerning; inquire of,ἔλαφος(2); μήτηρ(1); ἀνήρ(1); ἐριούνιος(1),βουλή(2); κνημός(2); ἄγκος(2); θεοπρόπος(1)
λιάζομαι,13,2,"roar, old, haste, shout",5,"bend, incline; go aside, recoil, shrink; shrank; hast",Πουλυδάμας(1); πτερόν(1); κῦμα(1),
ἀνέρομαι,13,19,"return, sleep, assemble collect, company",21,,Ὀδυσσεύς(1),ἔπος(2); γαῖα(1)
συντίθημι,13,27,"speak, address, hear, exchange",23,place; put together; fold; together,κόρη(1); Πηνελόπεια(1); Ὀδυσσεύς(1); Ἀργεῖος(1),θυμός(2); μῦθος(2); φρήν(1); ἀοιδή(1); ὄψ(1)
ἐπικεύθω,13,-1,(unassigned),1,"conceal, hide; will; hide; from",,μῦθος(1)
ἰαύω,13,15,"eat, devour, kindle, chase",5,"Graffītes Grecs du Memnonion d’ Abydos; sleep, pass the night; enjoy; sleeping",ἄρσην(1); κύων(1); μῆλον1(1); ὄις(1); αἴξ(1),νύξ(2)
θύνω,13,6,"fail, tears, meal, flow",7,"rush, dart along; flitted; flits; raged",βασιλεύς(1),
ἐφάλλομαι,12,-1,(unassigned),19,spring upon; attack; having leaped upon,Ἁρπαλίων(1); υἱός(1),Τρώς(1); Ἀστεροπαῖος(1); ἵππος(1)
ἐμπνέω,12,0,"breathe, witch spell, set hurry, throw overthrow",13,"blow; breathe upon; to breathe upon; breathe into, play",δαίμων(2); Ἀθήνη(2),μένος(6); ποιμήν(2); φρήν(1); θάρσος(1)
ἐκβάλλω,12,28,"straight, wash hands, thrust away, bear",9,throw; cast out of; throw out; threw,κῦμα(1); Ἀγαμέμνων(1),χείρ(4); ἔπος(2); δόρυ(1); δάκρυον(1)
κοιρανέω,12,-1,(unassigned),15,"to be lord; master, rule, command; to be lord of; lead, arrange",ὅσος(3),μέγαρον(1)
ἐπέοικε,12,-1,(unassigned),15,,ὅσος(1),ἱκέτης(2); μάχη(1)
ξενίζω,12,18,"owe, crying, ply, dead",21,receive; entertain as a guest; to present with; with,Μενέλαος(1); Οἰνεύς(1),ξένος(3); πόσις1(1); ἀνήρ(1); παῖς(1)
βιάω,12,-1,(unassigned),12,constrain; to be forcibly driven; will; yield to force,ἄχος(2); κῦμα(1); χρεώ(1); Τρώς(1),Ἀχαιός(3); παῖς(2); ὗς(1)
ἀπεῖπον,12,27,"speak, address, hear, exchange",22,"speak out, tell out, declare; to give; full notice; to deliver",Πηλείων(1),μῦθος(2); μῆνις(2); μνηστήρ(1); μέγαρον(1)
ἐπαυρέω,12,23,"look gaze, courage, share, persuade",4,"partake of, share; enjoys; share; have had enjoyment of",πᾶς(1); ἄνθρωπος(1),χρώς(3); κακός(1); βασιλεύς(1); κακορραφία(1)
ἀποπαύω,12,-1,(unassigned),19,"stop; hinder from, make to cease from; hinder; leave off, cease from",νύξ(1),πόλεμος(3); ἀοιδή(1); μάχη(1); Πηλεύς(1); τόκος(1)
πυκάζω,12,35,"attain, come, reach, sink",12,cover closely; protection; surround; so as to protect,ἄχος(3); γένυς(1),Ἕκτωρ(3); φρήν(2); λάχνη(1); ῥάκος(1)
εἰσάγω,12,37,"strike, strip, wound, smite",18,"lead in; into; into oneʼs dwelling, introduce; he led",Ἰδομενεύς(1),ὗς(1); βοῦς(1); Κρήτη(1); ἑταῖρος(1)
αἰσχύνω,12,15,"eat, devour, kindle, chase",13,"make ugly, disfigure; give; a bad form; dishonour, tarnish",κύων(1),φάτις(1); λέχος(1); εὐνή(1); πρόσωπον(1)
ἀποίχομαι,12,-1,(unassigned),19,"to be gone away, to be far from, keep aloof from; hast forsaken; to be gone, to have departed; he has been gone",ἄναξ(3); πατήρ(1); ἀνήρ(1); κακός(1),πόλεμος(1); ἀνήρ(1)
φέβομαι,12,17,"slaying, rejoice, eat, flee",14,"to be put to flight, flee in terror; flee from; bègti",Ἀχαιός(1),υἱός(1)
λάζομαι,12,-1,(unassigned),23,"seize, grasp; take; may they bite; took",Ἀλκιμέδων(1); ἑταῖρος(1); ἐριούνιος(1); Ἀθήνη(1),ἡνία(5); μάστιξ(3); μῦθος(2); ἔγχος(2); χείρ(1)
δάμνημι,12,-1,(unassigned),9,"forced, seduced",Ἀχαιός(2); χεῖμα(1); ποταμός(1); κεραυνός(1); δεσμός(1),στίξ(3); Τρώς(2); κάρα(1); γόνυ(1)
κατέδω,12,-1,(unassigned),16,"eat up, devour; eat up; eating",Ἀχαιός(1); κύων(1),βίοτος(6); φώς(2); οἶκος(1)
ἀτιτάλλω,12,34,"king, inquire, ask, beget bring",22,"rear, tend; cherish; beguile, cajole",γεραιός(1),ὗς(1); παῖς(1)
ἄημι,12,2,"roar, old, haste, shout",9,vā´ti; vējas; breathe hard; blow,Νότος(1); ζέφυρος(1); θυμός(1),
ἐκτέμνω,12,-1,(unassigned),15,cut out; cut; from; out,ἀνήρ(3),μηρός(3); βοῦς(1); ἰός(1); ὀιστός(1)
ἐξαλαπάζω,12,10,"admit, riot, send away, dismiss",3,"sack, storm; empty; of its inhabitants, clear; out",,πόλις(6); πτολίεθρον(2); Ἴλιος(1); ναῦς(1); τεῖχος(1)
τελέθω,12,2,"roar, old, haste, shout",5,come into being; to be; become,ἀνήρ(2); νύξ(2); ἄνθρωπος(1); ἀρνός(1),
πεδάω,12,36,"bind, luo, turn flight, loosen",23,"bind with fetters; bind, make fast; shackle, trammel; constrained",μοῖρα(3); δεσμός(1); βουκόλος(1); Ἀθήνη(1),ναῦς(1); ἄλγος(1); γυῖον(1); ἕτερος(1)
κρύπτω,12,22,"succour, face, hide cover, assembly",20,"hide, cover; hide; cover; having cloaked his",θεός(1),θεός(1); γυνή(1); χρῆμα(1); κεφαλή(1)
κοσμέω,12,-1,(unassigned),23,"order, arrange; set; in array, marshal; marshalled",υἱός(2); βασιλεύς(1); Τυδεΐδης(1); Ὀδυσσεύς(1); Ἀγαμέμνων(1),δόρπον(1); Τρώς(1); ἵππος(1); ἀνήρ(1)
ὀπυίω,12,34,"king, inquire, ask, beget bring",22,"marry, take to wife; marry; wedded; to be married",Εὔμηλος(1); ἀμφιγυήεις(1),Ἱπποδάμεια(1)
φυτεύω,12,29,"taught, weave, send forward, set",22,"of the thing planted, plant; plant for oneself; beget, engender; father",νύμφη(1); κόρη(1),κακός(7); μνηστήρ(4); φόνος(2); κήρ(2); δυσμενής(1)
ἐπακούω,12,-1,(unassigned),15,hear; wilt; be answered; overhear,ὅσος(1),πᾶς(3); βουλή(3); ἔπος(1); τοῖος(1)
χωρέω,12,14,"arm, stay, strip, angry",18,"make room for another, give way, withdraw; gave way; put back, retire; begone!",Ἕκτωρ(4); Τρώς(3); πρόμαχος(3); Ἀργεῖος(1); Αἰνείας(1),ἔπαλξις(1); Ἀχιλλεύς(1); ναῦς(1); νεκρός(1); Ἕκτωρ(1)
ἔνειμι,12,3,"moan, melt, hope, bade",25,sum; to be in; to be among; is in,φρήν(2); χύσις(1); θυμός(1); φιλότης(1); μένος(1),Τρώς(1); θυμός(1)
ἀπολήγω,12,-1,(unassigned),14,"leave off, desist from; leave off; cease, desist; fall",Ἕκτωρ(1),μάχη(2); εἰρεσία(1); πομπή(1); πόλεμος(1); ἀπάτη(1)
μέτειμι1,11,13,"urge, know, remain, command",23,sum; to be among; interval; will be mine,παυσωλή(1); γέρων(1); Τυδεΐδης(1),ζωός(2); ἀνήρ(1); ἀθάνατος(1); κουρότερος(1)
σπέρχω,11,2,"roar, old, haste, shout",7,"set in rapid motion; to haste, be in haste; rage; in haste, hurriedly",ἄελλα(2); Ἀχαιός(1),
ἐντύνω,11,-1,(unassigned),3,"equip, deck out, get ready; was harnessing; were getting; ready",,ἄριστον(2); δαίς1(2); ἀοιδή(1); δεῖπνον(1)
διδάσκω,11,29,"taught, weave, send forward, set",23,instruct; teach; taught; taught how,Μοῦσα(2); θεός(1); παῖς(1); Χείρων(1),ἔργον(1); ἔριον(1); δουλοσύνη(1)
ἀτύζω,11,7,"wash, fenced, arrow, count",3,,,πεδίον(1); ὄψις(1)
δειπνέω,11,6,"fail, tears, meal, flow",7,"make a meal; take the chief meal, dine; make; serve as dinner",Ὀδυσσεύς(1); ἑταῖρος(1),
πελεμίζω,11,41,"shake, join, tremble, cause",9,"shake, cause to quiver; tremble; struggle at; to be shaken, tremble, quake",οὐρίαχος(2); Ὄλυμπος(1),οὐρίαχος(1); ὕλη(1); φηγός(1); μελία(1)
ἀλαπάζω,11,22,"succour, face, hide cover, assembly",20,"empty, drain, exhaust; sack, plunder; overpower, destroy",Ζεύς(2),πόλις(2); ἄστυ(2); φάλαγξ(1); Μολίων(1)
δοάσσατο,11,1,"ring, rattle, tears, gnash",5,it seemed; appear,πλήμνη(1),
βασιλεύω,11,34,"king, inquire, ask, beget bring",22,"to be king, rule, reign; was king; reigned as queen; to have become king",Μίνως(1); ὀαριστής(1); πατήρ(1),Πύλος(1); Γίγας(1)
κατάγω,11,-1,(unassigned),8,lead down; into the nether world; bring down; draw down,χρεώ(1); ναῦς(1); ἴς(1),σίαλος(1); ψυχή(1)
μαστίζω,11,-1,(unassigned),17,"whip, flog; whipped; stimulate",,ἵππος(4)
μητιάω,11,-1,(unassigned),9,"meditate, deliberate; consider among you; plan, devise",Ποσειδεών(1); Ἀπόλλων(1),κακός(2); νόστος(2); Ὀδυσσεύς(1)
